deviceID,350037000547373336373936
timestamp_iso,box_temp,manifold_temp,manifold_rh,pressure,dew_point,noise,solar,wind_dir,wind_speed,co2,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,ox_we,ox_ae,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin1MtoF,bin3MToF,bin5MToF,bin7MToF,flowrate,sample_period,pm1,pm25,pm10,laser_status,flag,lat,lon,alt,uncertainty
06/17/2026 00:19:47,26.60,27.04,46.66,79205.00,14.64,369.00,0.00,66.97,0.00,792.90,3296.98,0.00,3293.23,3293.73,4094.75,1051.28,802.15,2561.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
06/17/2026 00:19:57,26.70,27.05,46.63,79205.00,14.64,911.00,0.00,73.75,0.00,783.52,3296.98,0.00,3293.60,3294.10,4056.00,2282.19,801.77,1855.56,0.244,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.03,0.03,0.03,58,123,0.000000,0.000000,0,0
06/17/2026 00:20:27,26.90,27.07,45.83,79212.00,14.39,7.00,0.00,63.47,0.00,775.52,3297.23,0.00,3293.85,3294.35,2233.44,2101.81,1463.29,1579.42,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,56,123,0.000000,0.000000,0,0
06/17/2026 00:20:37,26.90,27.08,45.69,79206.00,14.36,5.00,0.00,65.00,0.00,773.40,3297.10,0.00,3293.98,3294.48,2104.44,1995.44,1662.05,1727.93,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
06/17/2026 00:20:47,27.00,27.09,45.59,79217.00,14.33,429.00,0.00,63.47,0.00,768.90,3297.23,0.00,3293.98,3294.48,2044.19,1941.43,1740.93,1800.93,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
06/17/2026 00:20:57,27.10,27.10,45.46,79206.00,14.30,10.00,0.00,65.00,0.00,769.77,3297.10,0.00,3294.23,3294.60,2011.94,1915.18,1775.68,1835.68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
06/17/2026 00:21:07,27.10,27.11,45.36,79212.00,14.28,4.00,0.00,65.00,0.00,765.65,3296.98,0.00,3294.23,3294.73,1991.81,1901.56,1794.80,1854.93,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
06/17/2026 00:21:17,27.20,27.13,45.26,79218.00,14.26,4.00,0.00,59.09,0.00,763.15,3297.10,0.00,3294.23,3294.73,1977.81,1893.68,1806.68,1866.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
06/17/2026 00:21:27,27.30,27.14,45.13,79209.00,14.22,3.00,0.00,63.90,0.00,760.90,3297.23,0.00,3294.35,3294.73,1967.44,1890.06,1815.31,1872.81,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
06/17/2026 00:21:37,27.30,27.15,45.06,79221.00,14.21,3.00,0.00,64.12,0.00,759.90,3297.10,0.00,3294.35,3294.85,1958.81,1887.68,1821.81,1877.31,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,57,123,0.000000,0.000000,0,0
