deviceID,350037000547373336373936
timestamp_iso,box_temp,manifold_temp,manifold_rh,pressure,dew_point,noise,solar,wind_dir,wind_speed,co2,co_we,co_ae,no_we,no_ae,no2_we,no2_ae,ox_we,ox_ae,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin1MtoF,bin3MToF,bin5MToF,bin7MToF,flowrate,sample_period,pm1,pm25,pm10,laser_status,flag,lat,lon,alt,uncertainty
04/09/2026 00:13:02,31.60,30.85,56.01,101040.00,21.06,5.00,0.00,70.47,0.00,749.77,657.52,607.64,689.02,683.02,1890.93,1885.06,1901.43,1894.68,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,52,123,0.000000,0.000000,0,0
04/09/2026 00:13:12,31.60,30.83,55.98,101020.00,21.03,3.00,0.00,60.40,0.00,747.27,657.77,608.02,689.52,682.90,1890.06,1884.18,1901.43,1894.81,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,53,123,0.000000,0.000000,0,0
04/09/2026 00:13:22,31.60,30.83,56.01,101029.00,21.04,3.00,0.00,65.65,0.00,747.15,657.65,610.89,689.02,683.15,1889.93,1884.68,1901.31,1894.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,52,123,0.000000,0.000000,0,0
04/09/2026 00:15:12,31.50,30.75,55.78,101034.00,20.89,3.00,0.00,69.37,0.00,741.65,656.15,611.02,689.15,683.27,1888.81,1884.43,1900.18,1894.31,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,53,123,0.000000,0.000000,0,0
04/09/2026 00:15:22,31.50,30.75,55.84,101031.00,20.91,3.00,0.00,69.59,0.00,741.02,654.89,609.02,688.90,682.65,1889.06,1884.18,1900.43,1894.31,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,52,123,0.000000,0.000000,0,0
04/09/2026 00:15:32,31.50,30.75,55.84,101052.00,20.91,3.00,0.00,64.78,0.00,741.77,655.90,610.52,688.90,683.02,1888.81,1883.93,1900.31,1894.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,53,123,0.000000,0.000000,0,0
04/09/2026 00:15:42,31.50,30.74,55.84,101046.00,20.90,6.00,0.00,59.96,0.00,742.52,656.15,611.14,688.52,682.40,1889.18,1884.31,1900.43,1894.93,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,52,123,0.000000,0.000000,0,0
04/09/2026 00:15:52,31.40,30.73,55.84,101046.00,20.89,3.00,0.00,58.43,0.00,743.90,655.40,611.14,688.65,682.40,1889.18,1884.68,1900.31,1894.56,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,52,123,0.000000,0.000000,0,0
04/09/2026 00:16:02,31.40,30.73,55.81,101037.00,20.88,3.00,0.00,63.68,0.00,742.77,654.77,611.39,689.15,682.40,1888.93,1884.31,1900.06,1894.43,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,53,123,0.000000,0.000000,0,0
04/09/2026 00:16:12,31.50,30.73,55.78,101046.00,20.87,3.00,0.00,58.87,0.00,744.15,653.64,608.89,688.77,683.02,1888.81,1884.68,1900.31,1895.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,52,123,0.000000,0.000000,0,0
04/09/2026 00:16:22,31.40,30.73,55.78,101043.00,20.87,3.00,0.00,60.40,0.00,746.77,654.14,608.77,688.90,682.02,1888.68,1884.43,1899.81,1894.81,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,53,123,0.000000,0.000000,0,0
04/09/2026 00:16:32,31.40,30.71,55.78,101028.00,20.86,3.00,0.00,61.50,0.00,746.15,653.27,607.27,688.02,681.90,1888.56,1884.06,1900.18,1894.93,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.700,9.98,0.00,0.00,0.00,52,123,0.000000,0.000000,0,0
